BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,WI,MILWAUKEE,9143,4.03425,900.0,1.5,5.0,2008,172723.0,6.051375
RETAIL PHARMACY,WI,MILWAUKEE,9143,5.379,600.0,1.5,10.0,2009,199188.0,8.0685
RETAIL PHARMACY,WI,MILWAUKEE,9193,6.0539999999999985,1000.0,1.0,10.0,2010,95833.0,6.0539999999999985
RETAIL PHARMACY,WI,MILWAUKEE,9193,3.027,500.0,1.0,10.0,2010,95833.0,3.027
RETAIL PHARMACY,WI,ONEIDA,9193,0.45405,100.0,1.0,7.5,2006,4167.0,0.45405
RETAIL PHARMACY,WI,MILWAUKEE,9143,1.34475,300.0,1.5,5.0,2007,157490.0,2.017125
RETAIL PHARMACY,WI,MILWAUKEE,9193,0.45405,100.0,1.0,7.5,2007,61702.0,0.45405
RETAIL PHARMACY,WI,MILWAUKEE,9143,14.344,200.0,1.5,80.0,2009,199188.0,21.516
RETAIL PHARMACY,WI,MILWAUKEE,9143,0.44825,100.0,1.5,5.0,2009,199188.0,0.672375
RETAIL PHARMACY,WI,MILWAUKEE,9143,0.672375,100.0,1.5,7.5,2009,199188.0,1.0085625
RETAIL PHARMACY,WI,MILWAUKEE,9143,2.017125,300.0,1.5,7.5,2009,199188.0,3.0256875
RETAIL PHARMACY,WI,MILWAUKEE,9143,1.793,200.0,1.5,10.0,2009,199188.0,2.6895
RETAIL PHARMACY,WI,MILWAUKEE,9143,3.5860000000000003,200.0,1.5,20.0,2009,199188.0,5.3790000000000004
RETAIL PHARMACY,WI,MILWAUKEE,9143,0.8965,200.0,1.5,5.0,2009,199188.0,1.34475
RETAIL PHARMACY,WI,MILWAUKEE,9143,7.1720000000000015,100.0,1.5,80.0,2009,199188.0,10.758000000000003
RETAIL PHARMACY,WI,MILWAUKEE,9193,0.3027,100.0,1.0,5.0,2011,102509.0,0.3027
RETAIL PHARMACY,WI,MILWAUKEE,9193,3.027,500.0,1.0,10.0,2011,102509.0,3.027
RETAIL PHARMACY,WI,MILWAUKEE,9143,5.379,400.0,1.5,15.0,2011,282905.0,8.0685
RETAIL PHARMACY,WI,MILWAUKEE,9143,0.672375,100.0,1.5,7.5,2011,282905.0,1.0085625
RETAIL PHARMACY,WI,MILWAUKEE,9193,1.5135,500.0,1.0,5.0,2011,102509.0,1.5135
RETAIL PHARMACY,WI,MILWAUKEE,9143,3.5860000000000003,100.0,1.5,40.0,2011,282905.0,5.3790000000000004
RETAIL PHARMACY,WI,MILWAUKEE,9143,0.8965,100.0,1.5,10.0,2011,282905.0,1.34475
RETAIL PHARMACY,WI,MILWAUKEE,9143,8.0685,300.0,1.5,30.0,2012,300135.0,12.10275
RETAIL PHARMACY,WI,MILWAUKEE,9143,13.4475,500.0,1.5,30.0,2012,300135.0,20.17125
RETAIL PHARMACY,WI,MILWAUKEE,9193,3.027,1000.0,1.0,5.0,2012,102772.0,3.027
RETAIL PHARMACY,WI,MILWAUKEE,9143,17.93,1000.0,1.5,20.0,2007,157490.0,26.895
RETAIL PHARMACY,WI,MILWAUKEE,9193,1.5135,500.0,1.0,5.0,2008,68555.0,1.5135
RETAIL PHARMACY,WI,MILWAUKEE,9193,3.027,1000.0,1.0,5.0,2009,86790.0,3.027
RETAIL PHARMACY,WI,MILWAUKEE,9193,0.45405,100.0,1.0,7.5,2009,86790.0,0.45405
RETAIL PHARMACY,WI,JUNEAU,9193,0.45405,100.0,1.0,7.5,2009,2192.0,0.45405
RETAIL PHARMACY,WI,COLUMBIA,9143,0.672375,100.0,1.5,7.5,2006,7826.0,1.0085625
