BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,WV,KANAWHA,9193,6.0539999999999985,1000.0,1.0,10.0,2006,41659.0,6.0539999999999985
RETAIL PHARMACY,WV,RALEIGH,9193,3.027,500.0,1.0,10.0,2011,23247.0,3.027
RETAIL PHARMACY,WV,RALEIGH,9193,3.027,500.0,1.0,10.0,2012,20899.0,3.027
RETAIL PHARMACY,WV,RALEIGH,9193,1.5135,500.0,1.0,5.0,2012,20899.0,1.5135
RETAIL PHARMACY,WV,RALEIGH,9193,2.27025,500.0,1.0,7.5,2012,20899.0,2.27025
RETAIL PHARMACY,WV,GREENBRIER,9193,0.3027,200.0,1.0,2.5,2012,9589.0,0.3027
PRACTITIONER,WV,WETZEL,9193,0.3027,100.0,1.0,5.0,2006,3190.0,0.3027
PRACTITIONER,WV,PUTNAM,9193,0.3027,100.0,1.0,5.0,2006,9313.0,0.3027
PRACTITIONER,WV,OHIO,9193,0.3027,100.0,1.0,5.0,2007,4600.0,0.3027
RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,500.0,1.0,10.0,2006,6534.0,3.027
RETAIL PHARMACY,WV,MCDOWELL,9193,1.5135,500.0,1.0,5.0,2007,6815.0,1.5135
RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,500.0,1.0,10.0,2007,6815.0,3.027
RETAIL PHARMACY,WV,MCDOWELL,9193,1.2108,200.0,1.0,10.0,2007,6815.0,1.2108
RETAIL PHARMACY,WV,MCDOWELL,9193,4.5405,1000.0,1.0,7.5,2007,6815.0,4.5405
RETAIL PHARMACY,WV,MCDOWELL,9193,6.0539999999999985,1000.0,1.0,10.0,2007,6815.0,6.0539999999999985
RETAIL PHARMACY,WV,MCDOWELL,9193,0.6054,100.0,1.0,10.0,2007,6815.0,0.6054
RETAIL PHARMACY,WV,MCDOWELL,9193,1.8162,400.0,1.0,7.5,2007,6815.0,1.8162
RETAIL PHARMACY,WV,MCDOWELL,9143,3.5860000000000003,400.0,1.5,10.0,2007,6159.0,5.3790000000000004
RETAIL PHARMACY,WV,MCDOWELL,9193,0.9081,200.0,1.0,7.5,2007,6815.0,0.9081
RETAIL PHARMACY,WV,MCDOWELL,9193,2.27025,500.0,1.0,7.5,2007,6815.0,2.27025
RETAIL PHARMACY,WV,MCDOWELL,9193,1.5135,500.0,1.0,5.0,2008,6250.0,1.5135
RETAIL PHARMACY,WV,MCDOWELL,9193,0.45405,100.0,1.0,7.5,2008,6250.0,0.45405
RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,500.0,1.0,10.0,2008,6250.0,3.027
RETAIL PHARMACY,WV,MCDOWELL,9193,4.5405,1000.0,1.0,7.5,2008,6250.0,4.5405
RETAIL PHARMACY,WV,MCDOWELL,9193,2.27025,500.0,1.0,7.5,2009,6040.0,2.27025
RETAIL PHARMACY,WV,MCDOWELL,9193,4.5405,1000.0,1.0,7.5,2009,6040.0,4.5405
RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,500.0,1.0,10.0,2009,6040.0,3.027
RETAIL PHARMACY,WV,MCDOWELL,9193,0.45405,100.0,1.0,7.5,2009,6040.0,0.45405
RETAIL PHARMACY,WV,MCDOWELL,9193,2.27025,500.0,1.0,7.5,2010,6301.0,2.27025
RETAIL PHARMACY,WV,MCDOWELL,9193,3.027,1000.0,1.0,5.0,2010,6301.0,3.027
RETAIL PHARMACY,WV,MCDOWELL,9193,4.5405,1000.0,1.0,7.5,2010,6301.0,4.5405
RETAIL PHARMACY,WV,MCDOWELL,9193,1.5135,500.0,1.0,5.0,2010,6301.0,1.5135
