BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,WY,NATRONA,9193,0.6054,100.0,1.0,10.0,2006,7218.0,0.6054
RETAIL PHARMACY,WY,NATRONA,9193,0.3027,100.0,1.0,5.0,2006,7218.0,0.3027
RETAIL PHARMACY,WY,NATRONA,9143,3.5860000000000003,400.0,1.5,10.0,2006,5368.0,5.3790000000000004
RETAIL PHARMACY,WY,NATRONA,9143,0.8965,100.0,1.5,10.0,2006,5368.0,1.34475
RETAIL PHARMACY,WY,NATRONA,9143,0.44825,100.0,1.5,5.0,2006,5368.0,0.672375
RETAIL PHARMACY,WY,NATRONA,9193,0.9081,200.0,1.0,7.5,2006,7218.0,0.9081
RETAIL PHARMACY,WY,NATRONA,9143,2.6895,300.0,1.5,10.0,2006,5368.0,4.03425
RETAIL PHARMACY,WY,NATRONA,9143,1.793,400.0,1.5,5.0,2006,5368.0,2.6895
RETAIL PHARMACY,WY,NATRONA,9193,2.27025,500.0,1.0,7.5,2006,7218.0,2.27025
RETAIL PHARMACY,WY,NATRONA,9193,3.027,500.0,1.0,10.0,2006,7218.0,3.027
RETAIL PHARMACY,WY,NATRONA,9193,4.5405,1500.0,1.0,5.0,2006,7218.0,4.5405
RETAIL PHARMACY,WY,NATRONA,9193,0.45405,100.0,1.0,7.5,2007,8698.0,0.45405
RETAIL PHARMACY,WY,NATRONA,9143,3.5860000000000003,400.0,1.5,10.0,2007,6388.0,5.3790000000000004
RETAIL PHARMACY,WY,NATRONA,9193,2.27025,500.0,1.0,7.5,2007,8698.0,2.27025
RETAIL PHARMACY,WY,NATRONA,9193,0.6054,200.0,1.0,5.0,2007,8698.0,0.6054
RETAIL PHARMACY,WY,NATRONA,9193,4.5405,1000.0,1.0,7.5,2007,8698.0,4.5405
RETAIL PHARMACY,WY,NATRONA,9193,0.3027,100.0,1.0,5.0,2007,8698.0,0.3027
RETAIL PHARMACY,WY,NATRONA,9143,2.241,500.0,1.5,5.0,2007,6388.0,3.3615000000000004
RETAIL PHARMACY,WY,NATRONA,9193,3.027,500.0,1.0,10.0,2007,8698.0,3.027
RETAIL PHARMACY,WY,NATRONA,9143,0.44825,100.0,1.5,5.0,2007,6388.0,0.672375
RETAIL PHARMACY,WY,NATRONA,9193,0.9081,300.0,1.0,5.0,2007,8698.0,0.9081
RETAIL PHARMACY,WY,NATRONA,9143,1.300507725,300.0,1.5,4.8355,2007,6388.0,1.9507615874999997
RETAIL PHARMACY,WY,NATRONA,9143,2.6895,600.0,1.5,5.0,2008,7318.0,4.03425
RETAIL PHARMACY,WY,NATRONA,9143,0.8965,100.0,1.5,10.0,2008,7318.0,1.34475
RETAIL PHARMACY,WY,NATRONA,9143,3.361875,500.0,1.5,7.5,2008,7318.0,5.0428125
RETAIL PHARMACY,WY,NATRONA,9193,3.027,500.0,1.0,10.0,2008,8482.0,3.027
RETAIL PHARMACY,WY,NATRONA,9193,0.9081,200.0,1.0,7.5,2008,8482.0,0.9081
RETAIL PHARMACY,WY,NATRONA,9193,0.45405,100.0,1.0,7.5,2008,8482.0,0.45405
RETAIL PHARMACY,WY,NATRONA,9143,0.44825,100.0,1.5,5.0,2008,7318.0,0.672375
RETAIL PHARMACY,WY,NATRONA,9143,1.793,200.0,1.5,10.0,2008,7318.0,2.6895
RETAIL PHARMACY,WY,NATRONA,9193,0.3027,100.0,1.0,5.0,2008,8482.0,0.3027
RETAIL PHARMACY,WY,NATRONA,9143,3.5860000000000003,200.0,1.5,20.0,2008,7318.0,5.3790000000000004
RETAIL PHARMACY,WY,NATRONA,9143,2.24125,500.0,1.5,5.0,2008,7318.0,3.361875
RETAIL PHARMACY,WY,NATRONA,9143,1.34475,200.0,1.5,7.5,2008,7318.0,2.017125
RETAIL PHARMACY,WY,NATRONA,9143,0.672375,100.0,1.5,7.5,2008,7318.0,1.0085625
RETAIL PHARMACY,WY,NATRONA,9143,5.379,200.0,1.5,30.0,2008,7318.0,8.0685
RETAIL PHARMACY,WY,NATRONA,9143,21.516,300.0,1.5,80.0,2008,7318.0,32.274
RETAIL PHARMACY,WY,NATRONA,9193,2.27025,500.0,1.0,7.5,2008,8482.0,2.27025
RETAIL PHARMACY,WY,NATRONA,9193,1.36215,300.0,1.0,7.5,2008,8482.0,1.36215
RETAIL PHARMACY,WY,NATRONA,9193,6.81075,1500.0,1.0,7.5,2009,9681.0,6.81075
RETAIL PHARMACY,WY,NATRONA,9193,3.027,1000.0,1.0,5.0,2009,9681.0,3.027
RETAIL PHARMACY,WY,NATRONA,9143,2.6895,400.0,1.5,7.5,2009,8099.0,4.03425
RETAIL PHARMACY,WY,NATRONA,9193,0.9081,300.0,1.0,5.0,2009,9681.0,0.9081
RETAIL PHARMACY,WY,NATRONA,9143,3.5860000000000003,100.0,1.5,40.0,2009,8099.0,5.3790000000000004
RETAIL PHARMACY,WY,NATRONA,9143,1.34475,200.0,1.5,7.5,2009,8099.0,2.017125
RETAIL PHARMACY,WY,NATRONA,9193,1.5135,500.0,1.0,5.0,2009,9681.0,1.5135
RETAIL PHARMACY,WY,NATRONA,9193,0.3027,100.0,1.0,5.0,2009,9681.0,0.3027
RETAIL PHARMACY,WY,NATRONA,9143,5.379,400.0,1.5,15.0,2009,8099.0,8.0685
RETAIL PHARMACY,WY,NATRONA,9143,4.4825,1000.0,1.5,5.0,2009,8099.0,6.72375
RETAIL PHARMACY,WY,NATRONA,9193,2.27025,500.0,1.0,7.5,2009,9681.0,2.27025
