,County,State,Year,FIPS,Deaths
0,Acadia Parish, LA,2003,22001,11.0
1,Acadia Parish, LA,2005,22001,23.0
2,Acadia Parish, LA,2006,22001,19.0
3,Acadia Parish, LA,2007,22001,19.0
4,Acadia Parish, LA,2009,22001,11.0
5,Acadia Parish, LA,2010,22001,13.0
6,Acadia Parish, LA,2011,22001,10.0
7,Ada County, ID,2003,16001,17.0
8,Ada County, ID,2004,16001,21.0
9,Ada County, ID,2005,16001,20.0
10,Ada County, ID,2006,16001,32.0
11,Ada County, ID,2007,16001,32.0
12,Ada County, ID,2008,16001,37.0
13,Ada County, ID,2009,16001,44.0
14,Ada County, ID,2010,16001,35.0
15,Ada County, ID,2011,16001,45.0
16,Ada County, ID,2012,16001,28.0
17,Ada County, ID,2013,16001,55.0
18,Ada County, ID,2014,16001,65.0
19,Ada County, ID,2015,16001,44.0
20,Adams County, CO,2003,8001,42.0
21,Adams County, CO,2004,8001,46.0
22,Adams County, CO,2005,8001,63.0
23,Adams County, CO,2006,8001,62.0
24,Adams County, CO,2007,8001,70.0
25,Adams County, CO,2008,8001,50.0
26,Adams County, CO,2009,8001,67.0
27,Adams County, CO,2010,8001,53.0
28,Adams County, CO,2011,8001,88.0
29,Adams County, CO,2012,8001,91.0
30,Adams County, CO,2013,8001,78.0
31,Adams County, CO,2014,8001,88.0
32,Adams County, CO,2015,8001,84.0
33,Adams County, IL,2015,17001,14.0
34,Adams County, OH,2012,39001,10.0
35,Adams County, OH,2014,39001,10.0
36,Adams County, OH,2015,39001,13.0
37,Adams County, PA,2009,42001,12.0
38,Adams County, PA,2010,42001,10.0
39,Aiken County, SC,2003,45003,10.0
40,Aiken County, SC,2004,45003,16.0
41,Aiken County, SC,2005,45003,13.0
42,Aiken County, SC,2006,45003,25.0
43,Aiken County, SC,2007,45003,19.0
44,Aiken County, SC,2008,45003,18.0
45,Aiken County, SC,2009,45003,21.0
46,Aiken County, SC,2010,45003,25.0
47,Aiken County, SC,2011,45003,22.0
48,Aiken County, SC,2012,45003,26.0
49,Aiken County, SC,2013,45003,27.0
50,Aiken County, SC,2014,45003,26.0
51,Aiken County, SC,2015,45003,30.0
52,Alachua County, FL,2003,12001,11.0
53,Alachua County, FL,2007,12001,17.0
54,Alachua County, FL,2009,12001,15.0
55,Alachua County, FL,2010,12001,15.0
56,Alachua County, FL,2011,12001,14.0
57,Alachua County, FL,2012,12001,14.0
58,Alachua County, FL,2013,12001,12.0
59,Alachua County, FL,2014,12001,19.0
60,Alachua County, FL,2015,12001,23.0
61,Alamance County, NC,2005,37001,11.0
62,Alamance County, NC,2006,37001,10.0
63,Alamance County, NC,2007,37001,11.0
64,Alamance County, NC,2008,37001,19.0
65,Alamance County, NC,2009,37001,20.0
66,Alamance County, NC,2011,37001,16.0
67,Alamance County, NC,2012,37001,19.0
68,Alamance County, NC,2013,37001,15.0
69,Alamance County, NC,2014,37001,16.0
70,Alamance County, NC,2015,37001,14.0
71,Alameda County, CA,2003,6001,107.0
72,Alameda County, CA,2004,6001,132.0
73,Alameda County, CA,2005,6001,160.0
74,Alameda County, CA,2006,6001,163.0
75,Alameda County, CA,2007,6001,185.0
76,Alameda County, CA,2008,6001,157.0
77,Alameda County, CA,2009,6001,143.0
78,Alameda County, CA,2010,6001,131.0
79,Alameda County, CA,2011,6001,167.0
80,Alameda County, CA,2012,6001,133.0
81,Alameda County, CA,2013,6001,174.0
82,Alameda County, CA,2014,6001,165.0
83,Alameda County, CA,2015,6001,198.0
84,Albany County, NY,2006,36001,11.0
85,Albany County, NY,2007,36001,28.0
86,Albany County, NY,2008,36001,15.0
87,Albany County, NY,2009,36001,10.0
88,Albany County, NY,2010,36001,24.0
89,Albany County, NY,2011,36001,26.0
90,Albany County, NY,2012,36001,13.0
91,Albany County, NY,2013,36001,29.0
