county,state,mme,year,FIPS,population
abbeville,SC,,2003,45001.0,26371.0
abbeville,SC,,2004,45001.0,26304.0
abbeville,SC,,2005,45001.0,25676.0
abbeville,SC,3136.2153893625105,2006,45001.0,25821.0
abbeville,SC,3228.788996862507,2007,45001.0,25745.0
abbeville,SC,3070.379709262506,2008,45001.0,25699.0
abbeville,SC,3827.607064987507,2009,45001.0,25347.0
abbeville,SC,4657.525812487521,2010,45001.0,25643.0
abbeville,SC,4833.266017500017,2011,45001.0,25515.0
abbeville,SC,4835.180167500024,2012,45001.0,25387.0
abbeville,SC,,2013,45001.0,25257.0
abbeville,SC,,2014,45001.0,25127.0
abbeville,SC,,2015,45001.0,24997.0
acadia,LA,,2003,22001.0,59209.0
acadia,LA,,2004,22001.0,59164.0
acadia,LA,,2005,22001.0,58804.0
acadia,LA,22401.55311480033,2006,22001.0,60522.0
acadia,LA,25689.157670325167,2007,22001.0,60762.0
acadia,LA,24689.47884055,2008,22001.0,61115.0
acadia,LA,28592.01097496249,2009,22001.0,59616.0
acadia,LA,33011.664508574824,2010,22001.0,61139.0
acadia,LA,32544.69985976225,2011,22001.0,61430.0
acadia,LA,27021.224292075,2012,22001.0,61611.0
acadia,LA,,2013,22001.0,61795.0
acadia,LA,,2014,22001.0,61979.0
acadia,LA,,2015,22001.0,62163.0
accomack,VA,,2003,51001.0,39093.0
accomack,VA,,2004,51001.0,39270.0
accomack,VA,,2005,51001.0,38743.0
accomack,VA,4073.8513760000014,2006,51001.0,35192.0
accomack,VA,4894.526084362512,2007,51001.0,34553.0
accomack,VA,5453.923323225032,2008,51001.0,33970.0
accomack,VA,5832.013053862507,2009,51001.0,38522.0
accomack,VA,7341.689103862564,2010,51001.0,34066.0
accomack,VA,8488.628363625077,2011,51001.0,33701.0
accomack,VA,7968.890385000074,2012,51001.0,33454.0
accomack,VA,,2013,51001.0,33341.0
accomack,VA,,2014,51001.0,33228.0
accomack,VA,,2015,51001.0,33115.0
ada,ID,,2003,16001.0,325482.0
ada,ID,,2004,16001.0,332545.0
ada,ID,,2005,16001.0,347318.0
ada,ID,86952.63407245773,2006,16001.0,363498.0
ada,ID,97835.63190340556,2007,16001.0,375368.0
ada,ID,114736.10491306652,2008,16001.0,382618.0
ada,ID,127037.35673895324,2009,16001.0,368791.0
ada,ID,148331.9493600788,2010,16001.0,380718.0
ada,ID,166079.09652458102,2011,16001.0,388174.0
ada,ID,180677.855539278,2012,16001.0,394961.0
ada,ID,,2013,16001.0,402474.0
ada,ID,,2014,16001.0,409987.0
ada,ID,,2015,16001.0,417501.0
adair,IA,,2003,19001.0,7976.0
adair,IA,,2004,19001.0,7895.0
adair,IA,,2005,19001.0,7731.0
adair,IA,1129.8284250000013,2006,19001.0,7924.0
adair,IA,1077.1950000000031,2007,19001.0,7871.0
adair,IA,1229.7391070250028,2008,19001.0,7747.0
adair,IA,1373.0400799875051,2009,19001.0,7555.0
adair,IA,1376.1534750000048,2010,19001.0,7779.0
adair,IA,1487.4325125000062,2011,19001.0,7699.0
adair,IA,1553.273775000005,2012,19001.0,7628.0
adair,IA,,2013,19001.0,7561.0
adair,IA,,2014,19001.0,7494.0
adair,IA,,2015,19001.0,7426.0
adair,KY,,2003,21001.0,17499.0
adair,KY,,2004,21001.0,17512.0
adair,KY,,2005,21001.0,17601.0
adair,KY,3729.895057450016,2006,21001.0,18335.0
adair,KY,3865.3395355000202,2007,21001.0,18493.0
adair,KY,4965.698337500025,2008,21001.0,18541.0
adair,KY,5622.423922500029,2009,21001.0,17872.0
adair,KY,6632.885280000034,2010,21001.0,18542.0
adair,KY,7496.157975225054,2011,21001.0,18613.0
adair,KY,7491.440937487559,2012,21001.0,18651.0
adair,KY,,2013,21001.0,18718.0
adair,KY,,2014,21001.0,18785.0
adair,KY,,2015,21001.0,18852.0
adair,MO,,2003,29001.0,24667.0
adair,MO,,2004,29001.0,24626.0
adair,MO,,2005,29001.0,24572.0
adair,MO,6124.949180500077,2006,29001.0,25007.0
adair,MO,6775.423243725136,2007,29001.0,24983.0
adair,MO,7197.307329862669,2008,29001.0,25399.0
adair,MO,8770.741278862657,2009,29001.0,24801.0
adair,MO,10299.0281627252,2010,29001.0,25315.0
adair,MO,12432.814488862674,2011,29001.0,25421.0
adair,MO,13553.014328400117,2012,29001.0,25542.0
adair,MO,,2013,29001.0,25548.0
adair,MO,,2014,29001.0,25554.0
adair,MO,,2015,29001.0,25560.0
adair,OK,,2003,40001.0,21574.0
adair,OK,,2004,40001.0,21751.0
adair,OK,,2005,40001.0,21647.0
adair,OK,4138.670690175004,2006,40001.0,22215.0
adair,OK,5366.468905200033,2007,40001.0,22345.0
adair,OK,7225.860767700047,2008,40001.0,22346.0
adair,OK,8136.997085212567,2009,40001.0,21822.0
adair,OK,10250.30062567512,2010,40001.0,22424.0
adair,OK,12399.805462500182,2011,40001.0,22506.0
adair,OK,13950.150697500105,2012,40001.0,22470.0
adair,OK,,2013,40001.0,22392.0
adair,OK,,2014,40001.0,22314.0
adair,OK,,2015,40001.0,22236.0
adams,CO,,2003,8001.0,381370.0
adams,CO,,2004,8001.0,388064.0
adams,CO,,2005,8001.0,399814.0
adams,CO,68317.53837325332,2006,8001.0,406575.0
adams,CO,78826.99453655447,2007,8001.0,415746.0
adams,CO,94424.88579365543,2008,8001.0,424913.0
adams,CO,110355.41476009373,2009,8001.0,419439.0
adams,CO,132304.86628249264,2010,8001.0,425330.0
adams,CO,157909.63098270664,2011,8001.0,434295.0
adams,CO,161238.2562945043,2012,8001.0,442996.0
adams,CO,,2013,8001.0,452399.0
adams,CO,,2014,8001.0,461802.0
adams,CO,,2015,8001.0,471206.0
adams,IA,,2003,19003.0,4389.0
adams,IA,,2004,19003.0,4300.0
adams,IA,,2005,19003.0,4166.0
adams,IA,664.8217875000003,2006,19003.0,4224.0
adams,IA,970.5733875000006,2007,19003.0,4195.0
adams,IA,998.2243500000003,2008,19003.0,4151.0
adams,IA,1057.1320125000007,2009,19003.0,4072.0
adams,IA,415.3399124999999,2010,19003.0,4127.0
adams,IA,284.17064999999974,2011,19003.0,4085.0
adams,IA,307.7047499999997,2012,19003.0,4027.0
adams,IA,,2013,19003.0,3982.0
adams,IA,,2014,19003.0,3937.0
adams,IA,,2015,19003.0,3892.0
adams,ID,,2003,16003.0,3469.0
adams,ID,,2004,16003.0,3503.0
adams,ID,,2005,16003.0,3527.0
adams,ID,8.7783,2006,16003.0,3788.0
adams,ID,5.7513000000000005,2007,16003.0,3949.0
adams,ID,3.6324000000000014,2008,16003.0,4021.0
adams,ID,3.9351,2009,16003.0,3520.0
adams,ID,4.5405,2010,16003.0,3942.0
adams,ID,3.3297,2011,16003.0,3980.0
adams,ID,4.2378,2012,16003.0,3976.0
adams,ID,,2013,16003.0,3944.0
adams,ID,,2014,16003.0,3912.0
adams,ID,,2015,16003.0,3880.0
adams,IL,,2003,17001.0,67405.0
adams,IL,,2004,17001.0,66924.0
adams,IL,,2005,17001.0,66969.0
adams,IL,11998.617980000117,2006,17001.0,67106.0
adams,IL,13751.4818066752,2007,17001.0,66943.0
adams,IL,15660.886890812695,2008,17001.0,66943.0
adams,IL,17577.797527500294,2009,17001.0,66892.0
adams,IL,20029.78060500053,2010,17001.0,67030.0
adams,IL,20223.1394850005,2011,17001.0,67045.0
adams,IL,20675.82972000015,2012,17001.0,67098.0
adams,IL,,2013,17001.0,67092.0
adams,IL,,2014,17001.0,67086.0
adams,IL,,2015,17001.0,67081.0
adams,IN,,2003,18001.0,33743.0
adams,IN,,2004,18001.0,33778.0
adams,IN,,2005,18001.0,33710.0
adams,IN,3290.6477774999958,2006,18001.0,33887.0
adams,IN,3786.5570624999873,2007,18001.0,33962.0
adams,IN,3946.6674,2008,18001.0,34214.0
adams,IN,4369.483762500017,2009,18001.0,33955.0
adams,IN,5176.3967100000455,2010,18001.0,34162.0
adams,IN,6431.732400000074,2011,18001.0,34263.0
adams,IN,7668.768855000082,2012,18001.0,34343.0
adams,IN,,2013,18001.0,34443.0
adams,IN,,2014,18001.0,34543.0
adams,IN,,2015,18001.0,34642.0
adams,MS,,2003,28001.0,33232.0
adams,MS,,2004,28001.0,32447.0
adams,MS,,2005,28001.0,31767.0
adams,MS,11331.859917537608,2006,28001.0,33220.0
adams,MS,12658.402576537737,2007,28001.0,32889.0
adams,MS,14239.159755987726,2008,28001.0,32629.0
adams,MS,14974.639909987798,2009,28001.0,31475.0
adams,MS,16014.643074300295,2010,28001.0,32659.0
adams,MS,17873.416797262827,2011,28001.0,32431.0
adams,MS,17306.83776180028,2012,28001.0,32391.0
adams,MS,,2013,28001.0,32254.0
adams,MS,,2014,28001.0,32117.0
adams,MS,,2015,28001.0,31979.0
adams,ND,,2003,38001.0,2467.0
adams,ND,,2004,38001.0,2450.0
adams,ND,,2005,38001.0,2356.0
adams,ND,834.7503749999993,2006,38001.0,2366.0
adams,ND,1116.7102349999984,2007,38001.0,2362.0
adams,ND,1025.5404750000007,2008,38001.0,2343.0
adams,ND,1194.1517249999988,2009,38001.0,2291.0
adams,ND,1277.3687999999988,2010,38001.0,2348.0
adams,ND,1110.1256175,2011,38001.0,2337.0
adams,ND,1150.9022699999996,2012,38001.0,2325.0
adams,ND,,2013,38001.0,2330.0
adams,ND,,2014,38001.0,2335.0
adams,ND,,2015,38001.0,2341.0
adams,NE,,2003,31001.0,30979.0
adams,NE,,2004,31001.0,32769.0
adams,NE,,2005,31001.0,33017.0
adams,NE,3921.1637424999867,2006,31001.0,30910.0
adams,NE,4666.274448862529,2007,31001.0,30892.0
adams,NE,4963.875232362535,2008,31001.0,31160.0
adams,NE,4987.5174945375265,2009,31001.0,33024.0
adams,NE,5273.057734725038,2010,31001.0,31126.0
adams,NE,5850.064249087584,2011,31001.0,31181.0
adams,NE,5857.111554712562,2012,31001.0,31299.0
adams,NE,,2013,31001.0,31347.0
adams,NE,,2014,31001.0,31395.0
adams,NE,,2015,31001.0,31442.0
adams,OH,,2003,39001.0,28125.0
adams,OH,,2004,39001.0,28289.0
adams,OH,,2005,39001.0,28210.0
adams,OH,12563.788718000125,2006,39001.0,28615.0
adams,OH,13396.9714925001,2007,39001.0,28538.0
adams,OH,15237.123843000096,2008,39001.0,28686.0
adams,OH,16515.38841000014,2009,39001.0,28142.0
adams,OH,15652.694752725069,2010,39001.0,28578.0
adams,OH,13083.464666812544,2011,39001.0,28551.0
adams,OH,12020.049457500025,2012,39001.0,28524.0
adams,OH,,2013,39001.0,28426.0
adams,OH,,2014,39001.0,28328.0
adams,OH,,2015,39001.0,28229.0
adams,PA,,2003,42001.0,96398.0
adams,PA,,2004,42001.0,98265.0
adams,PA,,2005,42001.0,98914.0
adams,PA,22081.284725863043,2006,42001.0,99899.0
adams,PA,22324.72634400041,2007,42001.0,100502.0
adams,PA,21661.274802000502,2008,42001.0,101056.0
adams,PA,24268.6485193131,2009,42001.0,101011.0
adams,PA,26433.218182725628,2010,42001.0,100839.0
adams,PA,28887.012379088086,2011,42001.0,101137.0
adams,PA,31947.691612950734,2012,42001.0,101352.0
adams,PA,,2013,42001.0,101490.0
adams,PA,,2014,42001.0,101628.0
adams,PA,,2015,42001.0,101767.0
adams,WA,,2003,53001.0,16627.0
adams,WA,,2004,53001.0,16647.0
adams,WA,,2005,53001.0,16574.0
adams,WA,2424.5988480000024,2006,53001.0,16997.0
adams,WA,2891.419837500007,2007,53001.0,17413.0
adams,WA,3410.4100874999976,2008,53001.0,17782.0
adams,WA,3836.773949999989,2009,53001.0,17029.0
adams,WA,4258.329037499998,2010,53001.0,17884.0
adams,WA,4655.499187500028,2011,53001.0,18289.0
adams,WA,4531.6065975000265,2012,53001.0,18575.0
adams,WA,,2013,53001.0,18744.0
adams,WA,,2014,53001.0,18913.0
adams,WA,,2015,53001.0,19081.0
adams,WI,,2003,55001.0,20468.0
