County,State,mme,Year,FIPS,population,Deaths,deaths_percap,mme_percap
abbeville,SC,,2003,45001,26371.0,,,
abbeville,SC,,2004,45001,26304.0,,,
abbeville,SC,,2005,45001,25676.0,,,
abbeville,SC,3136.2153893625105,2006,45001,25821.0,,,0.12145987333420512
abbeville,SC,3228.788996862507,2007,45001,25745.0,,,0.12541421623082177
abbeville,SC,3070.379709262506,2008,45001,25699.0,,,0.11947467641785696
abbeville,SC,3827.607064987507,2009,45001,25347.0,,,0.15100828756805565
abbeville,SC,4657.525812487521,2010,45001,25643.0,,,0.18162952121387985
abbeville,SC,4833.266017500017,2011,45001,25515.0,,,0.18942841534391602
abbeville,SC,4835.180167500024,2012,45001,25387.0,,,0.19045890288336645
abbeville,SC,,2013,45001,25257.0,,,
abbeville,SC,,2014,45001,25127.0,,,
abbeville,SC,,2015,45001,24997.0,,,
acadia,LA,,2003,22001,59209.0,11.0,0.00018578256683950074,
acadia,LA,,2004,22001,59164.0,,,
acadia,LA,,2005,22001,58804.0,23.0,0.00039112985511189713,
acadia,LA,22401.553114800332,2006,22001,60522.0,19.0,0.00031393542843924523,0.37013900919996584
acadia,LA,25689.157670325167,2007,22001,60762.0,19.0,0.00031269543464665416,0.4227832801804609
acadia,LA,24689.47884055,2008,22001,61115.0,,,0.4039839456851837
acadia,LA,28592.010974962486,2009,22001,59616.0,11.0,0.00018451422436929684,0.4796029752912387
acadia,LA,33011.664508574824,2010,22001,61139.0,13.0,0.00021263023601956197,0.5399444627582202
acadia,LA,32544.69985976225,2011,22001,61430.0,10.0,0.00016278691193228064,0.5297851189933623
acadia,LA,27021.224292075,2012,22001,61611.0,,,0.43857792102181425
acadia,LA,,2013,22001,61795.0,,,
acadia,LA,,2014,22001,61979.0,,,
acadia,LA,,2015,22001,62163.0,,,
accomack,VA,,2003,51001,39093.0,,,
accomack,VA,,2004,51001,39270.0,,,
accomack,VA,,2005,51001,38743.0,,,
accomack,VA,4073.8513760000014,2006,51001,35192.0,,,0.1157607233462151
accomack,VA,4894.526084362512,2007,51001,34553.0,,,0.14165270987649442
accomack,VA,5453.923323225032,2008,51001,33970.0,,,0.16055117230571186
accomack,VA,5832.013053862507,2009,51001,38522.0,,,0.15139434748617692
accomack,VA,7341.689103862564,2010,51001,34066.0,,,0.21551368237722549
accomack,VA,8488.628363625077,2011,51001,33701.0,,,0.25188060780466687
accomack,VA,7968.890385000074,2012,51001,33454.0,,,0.23820441158008232
accomack,VA,,2013,51001,33341.0,,,
accomack,VA,,2014,51001,33228.0,,,
accomack,VA,,2015,51001,33115.0,,,
ada,ID,,2003,16001,325482.0,17.0,5.2230230857620394e-05,
ada,ID,,2004,16001,332545.0,21.0,6.314934820851313e-05,
ada,ID,,2005,16001,347318.0,20.0,5.758411599744327e-05,
ada,ID,86952.63407245773,2006,16001,363498.0,32.0,8.803349674551167e-05,0.23921076339473046
ada,ID,97835.63190340556,2007,16001,375368.0,32.0,8.524967498561411e-05,0.260639244430547
ada,ID,114736.10491306652,2008,16001,382618.0,37.0,9.67021938330136e-05,0.29987116370130656
ada,ID,127037.35673895324,2009,16001,368791.0,44.0,0.00011930876838100713,0.34446978570234427
ada,ID,148331.9493600788,2010,16001,380718.0,35.0,9.193156089283932e-05,0.3896110752842755
ada,ID,166079.09652458102,2011,16001,388174.0,45.0,0.00011592739338544055,0.42784703902008125
ada,ID,180677.855539278,2012,16001,394961.0,28.0,7.08930755188487e-05,0.4574574591903454
ada,ID,,2013,16001,402474.0,55.0,0.0001366547901230887,
ada,ID,,2014,16001,409987.0,65.0,0.00015854161229502398,
ada,ID,,2015,16001,417501.0,44.0,0.00010538896912821766,
adair,IA,,2003,19001,7976.0,,,
adair,IA,,2004,19001,7895.0,,,
adair,IA,,2005,19001,7731.0,,,
adair,IA,1129.8284250000013,2006,19001,7924.0,,,0.14258309250378612
adair,IA,1077.1950000000031,2007,19001,7871.0,,,0.1368561809172917
adair,IA,1229.7391070250028,2008,19001,7747.0,,,0.15873746056860757
adair,IA,1373.0400799875051,2009,19001,7555.0,,,0.1817392561201198
adair,IA,1376.1534750000048,2010,19001,7779.0,,,0.17690621866563888
adair,IA,1487.4325125000062,2011,19001,7699.0,,,0.19319814423951243
adair,IA,1553.273775000005,2012,19001,7628.0,,,0.20362792016255962
adair,IA,,2013,19001,7561.0,,,
adair,IA,,2014,19001,7494.0,,,
adair,IA,,2015,19001,7426.0,,,
adair,KY,,2003,21001,17499.0,,,
adair,KY,,2004,21001,17512.0,,,
adair,KY,,2005,21001,17601.0,,,
adair,KY,3729.895057450016,2006,21001,18335.0,,,0.20343032764930546
adair,KY,3865.3395355000202,2007,21001,18493.0,,,0.20901635946033745
adair,KY,4965.698337500025,2008,21001,18541.0,,,0.26782257362062595
adair,KY,5622.423922500029,2009,21001,17872.0,,,0.3145939974541198
adair,KY,6632.885280000034,2010,21001,18542.0,,,0.35772221335346965
adair,KY,7496.157975225054,2011,21001,18613.0,,,0.40273776259738103
adair,KY,7491.440937487559,2012,21001,18651.0,,,0.4016643041921376
adair,KY,,2013,21001,18718.0,,,
adair,KY,,2014,21001,18785.0,,,
adair,KY,,2015,21001,18852.0,,,
adair,MO,,2003,29001,24667.0,,,
adair,MO,,2004,29001,24626.0,,,
adair,MO,,2005,29001,24572.0,,,
adair,MO,6124.949180500077,2006,29001,25007.0,,,0.24492938699164543
adair,MO,6775.423243725136,2007,29001,24983.0,,,0.27120134666473744
adair,MO,7197.307329862669,2008,29001,25399.0,,,0.2833697125817028
adair,MO,8770.741278862657,2009,29001,24801.0,,,0.35364466266935435
adair,MO,10299.0281627252,2010,29001,25315.0,,,0.40683500544045825
adair,MO,12432.814488862674,2011,29001,25421.0,,,0.48907653077623514
adair,MO,13553.014328400117,2012,29001,25542.0,,,0.530616800892652
adair,MO,,2013,29001,25548.0,,,
adair,MO,,2014,29001,25554.0,,,
adair,MO,,2015,29001,25560.0,,,
adair,OK,,2003,40001,21574.0,,,
adair,OK,,2004,40001,21751.0,,,
adair,OK,,2005,40001,21647.0,,,
adair,OK,4138.670690175004,2006,40001,22215.0,,,0.18630072879473347
adair,OK,5366.468905200033,2007,40001,22345.0,,,0.24016419356455732
adair,OK,7225.860767700047,2008,40001,22346.0,,,0.3233626048375569
adair,OK,8136.997085212567,2009,40001,21822.0,,,0.37288044566091866
adair,OK,10250.300625675121,2010,40001,22424.0,,,0.45711294263624336
adair,OK,12399.805462500182,2011,40001,22506.0,,,0.5509555435217356
adair,OK,13950.150697500105,2012,40001,22470.0,,,0.620834476969297
adair,OK,,2013,40001,22392.0,,,
adair,OK,,2014,40001,22314.0,,,
adair,OK,,2015,40001,22236.0,,,
adams,CO,,2003,8001,381370.0,42.0,0.00011012927078689986,
adams,CO,,2004,8001,388064.0,46.0,0.00011853714851158571,
adams,CO,,2005,8001,399814.0,63.0,0.00015757327157128064,
adams,CO,68317.53837325332,2006,8001,406575.0,62.0,0.00015249338990346186,0.1680318228451167
adams,CO,78826.99453655447,2007,8001,415746.0,70.0,0.00016837203484820057,0.18960373530125238
adams,CO,94424.88579365543,2008,8001,424913.0,50.0,0.00011767114679946248,0.22222169195495414
adams,CO,110355.41476009373,2009,8001,419439.0,67.0,0.00015973717274740784,0.26310241718126764
adams,CO,132304.86628249264,2010,8001,425330.0,53.0,0.00012460912703077612,0.31106403564877305
adams,CO,157909.63098270664,2011,8001,434295.0,88.0,0.00020262724645690142,0.3635999285801279
adams,CO,161238.2562945043,2012,8001,442996.0,91.0,0.00020541946202674516,0.3639722622653575
adams,CO,,2013,8001,452399.0,78.0,0.00017241417421347084,
adams,CO,,2014,8001,461802.0,88.0,0.00019055785812967463,
adams,CO,,2015,8001,471206.0,84.0,0.0001782659813330051,
adams,IA,,2003,19003,4389.0,,,
adams,IA,,2004,19003,4300.0,,,
adams,IA,,2005,19003,4166.0,,,
adams,IA,664.8217875000003,2006,19003,4224.0,,,0.15739152166193188
adams,IA,970.5733875000006,2007,19003,4195.0,,,0.23136433551847452
adams,IA,998.2243500000003,2008,19003,4151.0,,,0.24047804143579868
adams,IA,1057.1320125000007,2009,19003,4072.0,,,0.25961002271611017
adams,IA,415.33991249999985,2010,19003,4127.0,,,0.10063966864550518
adams,IA,284.17064999999974,2011,19003,4085.0,,,0.0695644186046511
adams,IA,307.7047499999997,2012,19003,4027.0,,,0.07641041718400787
adams,IA,,2013,19003,3982.0,,,
adams,IA,,2014,19003,3937.0,,,
adams,IA,,2015,19003,3892.0,,,
adams,ID,,2003,16003,3469.0,,,
adams,ID,,2004,16003,3503.0,,,
adams,ID,,2005,16003,3527.0,,,
adams,ID,8.7783,2006,16003,3788.0,,,0.0023173970432946145
adams,ID,5.7513000000000005,2007,16003,3949.0,,,0.0014563940238034947
